S.no,CPU,Single-Core Score,Multi-Core Score,Cores,Threads,Clock Speed,Max TDP
1,Ryzen 9 9950XDesktop,2243,42103,16(16P),32,4.3-5.7 GHz,
2,Core Ultra 9 285KDesktop,2320,41558,24(16E + 8P),24,3.7-5.5 GHz,250 W
3,Core i9 14900KFDesktop,2290,40616,24(16E + 8P),32,3.2-6 GHz,253 W
4,Core i9 14900KSDesktop,2313,40421,24(16E + 8P),32,3.2-6.2 GHz,253 W
5,Core i9 13900KSDesktop,2339,40404,24(16E + 8P),32,3.2-6 GHz,253 W
6,Core i9 14900KDesktop,2293,40400,24(16E + 8P),32,3.2-6 GHz,253 W
7,Core i9 13900KFDesktop,2262,39012,24(16E + 8P),32,3.0-5.4 GHz,253 W
8,Core i9 13900Desktop,2191,38496,24(16E + 8P),32,2.0-5.2 GHz,219 W
9,Core i9 13900KDesktop,2076,37486,24(16E + 8P),32,3.0-5.4 GHz,253 W
10,Core Ultra 7 265KFDesktop,2309,37278,20(12E + 8P),20,3.9-5.4 GHz,250 W
11,Ryzen 9 7950XDesktop,2009,36742,16(16P),32,4.5-5.7 GHz,230 W
12,Core i9 14900FDesktop,2240,36660,24(16E + 8P),32,2.0-5.8 GHz,219 W
13,Core Ultra 7 265KDesktop,2304,36309,20(12E + 8P),20,3.9-5.4 GHz,250 W
14,Ryzen 9 7950X3DDesktop,2053,36291,16(16P),32,4.2-5.7 GHz,162 W
15,Core i9 14900Desktop,2246,36010,24(16E + 8P),32,2.0-5.8 GHz,219 W
16,Core i9 13900FDesktop,2008,35774,24(16E + 8P),32,2.0-5.2 GHz,219 W
17,Core i7 14700KFDesktop,2160,35265,20(12E + 8P),28,3.4-5.6 GHz,253 W
18,Core i7 14700KDesktop,2072,34895,20(12E + 8P),28,3.4-5.6 GHz,253 W
19,Ryzen 9 7945HXLaptop,1951,34333,16(16P),32,2.5-5.4 GHz,
20,Ryzen 9 7945HX3DLaptop,1956,33538,16(16P),32,2.3-5.4 GHz,
21,Core i7 14700FDesktop,2098,33114,20(12E + 8P),28,2.1-5.4 GHz,219 W
22,Ryzen 9 9900XDesktop,2232,33042,12(12P),24,4.4-5.6 GHz,
23,Core i7 14700Desktop,2106,32772,20(12E + 8P),28,2.1-5.4 GHz,219 W
24,Core i9 14900HXLaptop,2181,31893,24(16E + 8P),32,2.2-5.8 GHz,157 W
25,Core i9 13980HXLaptop,2193,31174,24(16E + 8P),32,2.2-5.6 GHz,157 W
26,Core i7 13700KDesktop,2082,30468,16(8E + 8P),24,3.4-5.3 GHz,253 W
27,Core i7 13700KFDesktop,1978,30435,16(8E + 8P),24,3.4-5.3 GHz,253 W
28,Ryzen 9 7900XDesktop,2016,29300,12(12P),24,4.7-5.6 GHz,230 W
29,M2 UltraLaptop,1735,28924,24(8E + 16P),24,3.5-0 GHz,
30,Core i9 13900HXLaptop,2088,28826,24(16E + 8P),32,2.2-5.4 GHz,157 W
31,Core i9 13950HXLaptop,2076,28681,24(16E + 8P),32,2.2-5.5 GHz,157 W
32,Ryzen 9 7900X3DDesktop,2041,27817,12(12P),24,4.4-5.6 GHz,162 W
33,Core i9 12900KDesktop,1995,27341,16(8E + 8P),24,"3,2-5.1 GHz",
34,Core i9 12900KFDesktop,1959,27341,16(8E + 8P),24,3.2-5.1 GHz,241 W
35,Ryzen 9 7845HXLaptop,1871,26647,12(12P),24,3.0-5.2 GHz,
36,Ryzen 9 5950XDesktop,1614,26017,16(16P),32,3.4-4.9 GHz,
37,Core i7 13850HXLaptop,2033,26015,20(12E + 8P),28,2.1-5.3 GHz,157 W
38,Core i7 13700FDesktop,1997,25699,16(8E + 8P),24,2.1-5.1 GHz,219 W
39,Core Ultra 5 245KFDesktop,2123,25589,14(8E + 6P),14,4.2-5.2 GHz,159 W
40,Core i7 13700Desktop,2008,25369,16(8E + 8P),24,2.1-5.1 GHz,219 W
41,Core i5 14600KDesktop,2072,25270,14(8E + 6P),20,3.5-5.3 GHz,181 W
42,Core Ultra 5 245KDesktop,2114,24935,14(8E + 6P),14,4.2-5.2 GHz,159 W
43,Ryzen 9 7900Desktop,1959,24444,12(12P),24,3.7-5.4 GHz,142 W
44,Core i5 14600KFDesktop,2063,24119,14(8E + 6P),20,3.5-5.3 GHz,181 W
45,M3 MaxLaptop,1950,24020,16(4E + 12P),16,4.05-0 GHz,
46,Core i5 14600Desktop,1968,23981,14(8E + 6P),20,2.7-5.2 GHz,154 W
47,M1 UltraLaptop,1510,23841,20(4E + 16P),20,3.2-0 GHz,
48,Core i7 14650HXLaptop,1922,23840,16(8E + 8P),24,2.2-5.2 GHz,157 W
49,Ryzen AI 9 HX 370Laptop,2035,23786,12(8E + 4P),24,2.0-5.1 GHz,
50,Core i5 13600KFDesktop,1818,23710,14(8E + 6P),20,3.5-5.1 GHz,181 W
51,Core i5 13600KDesktop,1998,23396,14(8E + 6P),20,3.5-5.1 GHz,181 W
52,Core i9 12950HXLaptop,2009,23395,16(8E + 8P),24,2.3-5 GHz,157 W
53,Core i9 12900HXLaptop,1912,23150,16(8E + 8P),24,2.3-5 GHz,157 W
54,Core i7 12700KDesktop,1935,22970,12(4E + 8P),20,3.6-4.9 GHz,190 W
55,Ryzen 9 3950XDesktop,1293,22876,16(16P),32,3.5-4.7 GHz,
